query_id,range_lo,range_hi,actual_selectivity,subset_size,k_used,true_correlation,abs_true_correlation,heuristic_correlation,abs_heuristic_correlation,tanh_correlation,abs_tanh_correlation,pgap_correlation,abs_pgap_correlation,js_divergence,lift,p_c,p_g,expected_random_gk,admissible_gk,expected_random_gk_stderr,monte_carlo_samples
9082,227,327,0.100825,100825,100,5.7838856958308335e-05,5.7838856958308335e-05,-0.06536885886716322,0.06536885886716322,-0.0014439211895572604,0.0014439211895572604,-0.0001570695475847494,0.0001570695475847494,0.06536885886716322,-0.022092417105555314,0.107565180824222,0.10996800000000007,269.8668050765991,269.8511962890625,0.26883024163068164,32
9083,565,665,0.101131,101131,100,-0.0062996151521841,0.0062996151521841,-0.0779577150031707,0.0779577150031707,-0.0013613719241262095,0.0013613719241262095,-0.00014854013909484291,0.00014854013909484291,0.0779577150031707,-0.017464728603202077,0.10814960629921244,0.11005500000000012,273.8335781097412,275.5586242675781,0.3305527285554473,32
9084,864,965,0.101399,101399,100,0.0025972353902928135,0.0025972353902928135,-0.06643880569467811,0.06643880569467811,-0.0017339877140636706,0.0017339877140636706,-0.0001878836301597467,0.0001878836301597467,0.06643880569467811,-0.026104948214141464,0.10692107995846323,0.10974899999999999,268.79281425476074,268.0946960449219,0.19349486628666895,32
9085,868,968,0.100521,100521,100,0.004444315691338,0.004444315691338,0.08997326346879915,0.08997326346879915,0.0051667040633647954,0.0051667040633647954,0.0005842993672768302,0.0005842993672768302,0.08997326346879915,0.05748812922736612,0.11624314442413164,0.10974899999999999,323.406099319458,321.9687805175781,0.25110462713199344,32
9086,385,485,0.100928,100928,100,0.0008723681211247843,0.0008723681211247843,-0.06394038820212854,0.06394038820212854,-0.0002761383910847373,0.0002761383910847373,-3.0283462847742553e-05,3.0283462847742553e-05,0.06394038820212854,-0.004318711781777605,0.1094303797468354,0.10990400000000011,275.7032833099365,275.4627685546875,0.32855168722467626,32
9087,581,681,0.1011,101100,100,-0.0020145811187233264,0.0020145811187233264,-0.0697544516617075,0.0697544516617075,-0.00196192414184963,0.00196192414184963,-0.00021290286512607492,0.00021290286512607492,0.0697544516617075,-0.02813356979093174,0.10696982397317678,0.11002200000000018,219.68112230300903,220.12368774414062,0.5923985824303416,32
9088,748,848,0.100809,100809,100,-0.001542099459798114,0.001542099459798114,-0.04870057551616051,0.04870057551616051,-0.002162692105041955,0.002162692105041955,-0.0002326409591179008,0.0002326409591179008,0.04870057551616051,-0.044437163689179715,0.10512853470437022,0.1099055000000001,123.70760703086853,123.89837646484375,0.3525780854038805,32
9089,443,543,0.100785,100785,100,0.002569620042157602,0.002569620042157602,-0.08285987996110421,0.08285987996110421,-0.002743832347752321,0.002743832347752321,-0.0002967117489477908,0.0002967117489477908,0.08285987996110421,-0.033126235778740264,0.10631761442441057,0.10989850000000001,334.0524797439575,333.194091796875,0.5030551845602471,32
9090,25,124,0.100247,100247,100,0.003971286462754321,0.003971286462754321,0.06418701182167078,0.06418701182167078,0.0019709897503432062,0.0019709897503432062,0.0002206797743320607,0.0002206797743320607,0.06418701182167078,0.030716644064064224,0.1136565752128666,0.11021850000000001,284.61150550842285,283.4812316894531,0.2023829054947025,32
9091,413,513,0.100967,100967,100,0.0001871812224117408,0.0001871812224117408,-0.07371605499160391,0.07371605499160391,-0.002430074663526392,0.002430074663526392,-0.0002628455518645151,0.0002628455518645151,0.07371605499160391,-0.032977287012869186,0.10635135135135143,0.10991699999999999,311.9062223434448,311.84783935546875,0.31638278701544814,32
